epoch, lambda=0.001, lambda=0.0015, lambda=0.0022500000000000003, lambda=0.003375, lambda=0.0050625, lambda=0.00759375, lambda=0.011390625, lambda=0.0170859375, lambda=0.02562890625, lambda=0.038443359375, lambda=0.0576650390625, lambda=0.08649755859375
61, 0.07059691633087962, 0.06888850339248555, 0.06638369777900749, 0.07509340482377605, 0.07534625626715778, 0.09909051282681001, 0.1153826635528208, 0.13170927755640263, 0.15565171091291283, 0.1525863106674282, 0.15508936568021175, 0.1614897297284579
62, 0.0655477922487961, 0.06625332721657429, 0.0651627890056256, 0.074334057649741, 0.0748219716188477, 0.09989335797747594, 0.11468897539148515, 0.13283145730919876, 0.1542553484131141, 0.15335456495935543, 0.15553112711518544, 0.15833549604742694
63, 0.0642795575468702, 0.06458277202826007, 0.063243930674901, 0.07289968603536458, 0.07242401917742147, 0.09264787006129345, 0.11602245552522338, 0.13038811084518656, 0.15465158853565134, 0.15415065426255914, 0.15554421528321785, 0.1578893685894612
64, 0.0629263384545392, 0.06286968006490144, 0.061693140402192786, 0.07846747575179565, 0.07131861575211702, 0.0947741120762512, 0.11964652580563952, 0.12708809730251514, 0.1545174000411058, 0.15213867058178374, 0.1577955950850414, 0.1605182102426345
65, 0.061020070303842884, 0.06160281353825355, 0.06028939228426527, 0.07407842634680296, 0.0727483094069652, 0.09136905429098476, 0.11373685894082737, 0.1281288009181537, 0.1538207236541832, 0.15044212107632235, 0.15486141813834944, 0.16034176883288762
66, 0.059274052152481264, 0.059978663782376034, 0.059553617306980805, 0.06987841075383187, 0.06832612055607508, 0.09231640455132904, 0.1142110751214066, 0.12760510360021646, 0.1541434913237403, 0.1492851569084941, 0.15615683495125815, 0.15932435007380857
67, 0.06303109364230754, 0.05989159280551184, 0.05795946000700225, 0.06940222804235606, 0.06866451082556489, 0.09560241070885254, 0.11926017084943186, 0.1280397997088963, 0.15363502272607396, 0.150456011118099, 0.1550123998526335, 0.16031457325972737
68, 0.05677321718715839, 0.05737093162722359, 0.060662667419978694, 0.0684353455896146, 0.06678698467021081, 0.09230441176154279, 0.12491910751391054, 0.12864633333844225, 0.15305637031153735, 0.14993105488211797, 0.15536187326594098, 0.1610606965697954
69, 0.054970262436476826, 0.05599797515545055, 0.05465730306603272, 0.06601155990662932, 0.07782481392467376, 0.09645677036214133, 0.11692457504561238, 0.12999839099422963, 0.15236250910492302, 0.1510020081531355, 0.15478635229529106, 0.16063763098605088
70, 0.06279288393146162, 0.05486414513860313, 0.05839859084736421, 0.06630666706220312, 0.06918218612301005, 0.08421098017701396, 0.11621686551670672, 0.1289271434191889, 0.15178006500509897, 0.15310914748029977, 0.15588300512340378, 0.1604078177219659
71, 0.05186235114742516, 0.052923991094792656, 0.06421154086827345, 0.0645683639705442, 0.06522059068028846, 0.09065591158916046, 0.1136551179517231, 0.12774183666944192, 0.15195606990483845, 0.15215075736446698, 0.1573061288547635, 0.16235617042810246
72, 0.050038460920554424, 0.06744339035814927, 0.06496937743307575, 0.06314972936203486, 0.08386164840391647, 0.08875499521328208, 0.11488994864964425, 0.12900080839548903, 0.15206302043966377, 0.15094236919094944, 0.1568472460459646, 0.16015488129608954
73, 0.05364419266765832, 0.05070228525157938, 0.04990748956802404, 0.061965454579354796, 0.0681321514657841, 0.1043605784082061, 0.11181364350826754, 0.13162636450301043, 0.15185543438247337, 0.15231915864841372, 0.15451984676479394, 0.16034167960201007
74, 0.047925059829938305, 0.049395817962023504, 0.049922882846503654, 0.060315754643098816, 0.06715541227383075, 0.10224494590500526, 0.11446310439410441, 0.13020523379298823, 0.15168138536521814, 0.1519114488721107, 0.15604496699781403, 0.15983096483753242
75, 0.04626255566920336, 0.04800644892262135, 0.05631806071884721, 0.059599535975913755, 0.06498545119984185, 0.09190293478677715, 0.11298624016560481, 0.13120872641204842, 0.1514003019769368, 0.15332128383614121, 0.1576378719851511, 0.16099226306346995
76, 0.0456488477988242, 0.05744400640592671, 0.05032370515577656, 0.0586255713707727, 0.06235721177544299, 0.0966113155418505, 0.11679080732255082, 0.12969252866496808, 0.15105585112921863, 0.15373352715605035, 0.15793131230896953, 0.15887481278031113
77, 0.04371349108737885, 0.04528630526963804, 0.04623635045254676, 0.07658205686360571, 0.08783239137553252, 0.0879355990279818, 0.11484861829295939, 0.13264711895028952, 0.15109556576363672, 0.1544623823797245, 0.1581085194028062, 0.15924076279932323
78, 0.04580560079627136, 0.04927463790252563, 0.04497734269251724, 0.058287311509031825, 0.061896880160201416, 0.08721352754630864, 0.1151725113752609, 0.13024601822870854, 0.15093424156801233, 0.15425216318577226, 0.15472314830347508, 0.16022871904910865
79, 0.0424565131755536, 0.04346922954235852, 0.0561156953578155, 0.06088790215615226, 0.0622161292970003, 0.08814822061534344, 0.11577304272761751, 0.1310671144560334, 0.15086569780391382, 0.1534591609146291, 0.15426149567370906, 0.15966907008755857
80, 0.04064715445046351, 0.04260079571952579, 0.045401785090076134, 0.05970999499826715, 0.06302311645938762, 0.08589354931353473, 0.11241159804705388, 0.13267676195500153, 0.15477605844819503, 0.15374911915000286, 0.15640000992072836, 0.1605620286693996
81, 0.03915885899842502, 0.04149713254074885, 0.04298763003013395, 0.05716609166740457, 0.06476676537551669, 0.09644247119651646, 0.11445465308678571, 0.1310277523295831, 0.15761828762442603, 0.15399294020346319, 0.15430396235299512, 0.1651795093884759
82, 0.03776320744512522, 0.04534088605790271, 0.05399022348746849, 0.054455728355587825, 0.08171936046513921, 0.09147264189760324, 0.11464536945346314, 0.13426543024607976, 0.1546935504434922, 0.15263465323371486, 0.15313198885125529, 0.15926282461757263
83, 0.037479688583643145, 0.03996224546630547, 0.03948140939414283, 0.051437789085225755, 0.07082254803842875, 0.08450511197806314, 0.11518797160890441, 0.13159014283984008, 0.15395072205592278, 0.15332437440675137, 0.15306443426222258, 0.15972783387001854
84, 0.03455930004026617, 0.03802734291752908, 0.03946890860273356, 0.055096076808898, 0.061601914793092565, 0.08454029967137772, 0.11866044560487715, 0.1318586808067573, 0.1543989105356887, 0.15363157027446506, 0.15567526358402559, 0.15886866648833
85, 0.03361263255094501, 0.043863240963800953, 0.03769643230706534, 0.0644314011494387, 0.057320441921025006, 0.0878680249596092, 0.11422980735168875, 0.13182949419153092, 0.15322090904050165, 0.15388858936848457, 0.15654528658648942, 0.1570879628223878
86, 0.03183457578254666, 0.03642914631952725, 0.040640572850201916, 0.06662131160905772, 0.06701661370934663, 0.08340877865900302, 0.1159980727872577, 0.13305928842629225, 0.15142497649977504, 0.15376160842343264, 0.15418648136260024, 0.15804593566940836
87, 0.04161076179998583, 0.03439229117919631, 0.03602660748113708, 0.04861209632295967, 0.058567578241708884, 0.07899419264457398, 0.11769815330943233, 0.1336034167436591, 0.14950549281442296, 0.1536358695620484, 0.15343422344263938, 0.16016399151340538
88, 0.029284631222976712, 0.05072929440586919, 0.043003433648229485, 0.047304571555472956, 0.06956712829075284, 0.08254146227136176, 0.11620925263639155, 0.13385583195316036, 0.14942902951042766, 0.15125015368162087, 0.15441167413719933, 0.16021412783008562
89, 0.02817853702945701, 0.03741330374819385, 0.035784375139493355, 0.04677589053211953, 0.05977132769958459, 0.09559774851277696, 0.11629596574315043, 0.13209146925702783, 0.14819829524309325, 0.1516512437883602, 0.15639472897581366, 0.15786540698219045
90, 0.034867135192835595, 0.033694397563995136, 0.03334238917212524, 0.06029218449861839, 0.07575314618773905, 0.08174188547951815, 0.11575020795001865, 0.13456198510601206, 0.15015162911036017, 0.15183572897380315, 0.156742012119825, 0.15989104166832482
91, 0.027619006446102146, 0.030508900314020402, 0.03108278337635523, 0.04502718679299675, 0.06697184615238973, 0.08627697162365972, 0.11513582624575036, 0.13491517690653176, 0.15125736140436077, 0.15266993667404785, 0.15805471871341142, 0.16181875336378554
92, 0.02481520843069569, 0.029628531295169496, 0.0326862674092832, 0.05591300531430704, 0.07074704963805864, 0.08902900751282496, 0.11386174172705638, 0.13217682775208892, 0.1514523891298568, 0.1541140385040902, 0.1563516839473552, 0.15965977689879193
93, 0.02608486025009225, 0.03152392327901203, 0.03063836930092169, 0.0444257667477567, 0.06718297206957125, 0.08885659953701038, 0.11714949397932835, 0.13156381026550765, 0.15258019464467837, 0.15367875554856023, 0.15644596947330086, 0.15973214553675527
94, 0.023098408899679665, 0.027485814001516107, 0.035665868282665346, 0.046216005101277886, 0.07620556756866968, 0.08850035128392497, 0.11562162402370597, 0.13139589236314703, 0.14946067160619333, 0.15410954363534773, 0.1600006097031855, 0.16449380960197432
95, 0.021701879793723993, 0.03459554590199379, 0.03286609062155077, 0.054586590754575115, 0.060576137306117515, 0.08413459088294356, 0.1176771875756696, 0.13264334305463935, 0.15005146528013244, 0.1524390407186115, 0.15844549905287303, 0.16416543728633212
96, 0.02493064411498914, 0.031055388815468415, 0.029210448439260957, 0.041883401321176995, 0.06761567403627367, 0.07632878131210989, 0.11742795474908523, 0.13304844564562948, 0.14763418206592038, 0.15360936114504786, 0.1587394042725665, 0.1623121611203213
97, 0.02038487451429814, 0.025075677651803147, 0.03581455692171485, 0.056097883191678334, 0.06610833879233857, 0.08111232482125823, 0.1143439337199787, 0.13443833401000235, 0.1482963920853186, 0.1529797741133443, 0.15700521284392416, 0.16273813960099862
98, 0.02044126168278995, 0.038248032722020466, 0.02725313855992116, 0.042340192622315975, 0.07142521530627406, 0.08609521059121784, 0.11904225786995154, 0.1331455213140013, 0.14516247873102014, 0.15497520029764758, 0.1566695004925685, 0.1600043906403141
99, 0.021270332596559097, 0.027458923070414143, 0.025434655220210933, 0.03986002026401528, 0.06460573395218995, 0.07922367263224724, 0.11495814821486411, 0.13292654026442197, 0.14607075103603703, 0.15429754553926994, 0.1547449111000432, 0.15971520243960005
100, 0.01927470594817354, 0.03009975021233298, 0.027611482100815418, 0.03897241314582081, 0.07100792935201067, 0.07591791185832653, 0.11550793179738543, 0.13075135199122834, 0.147637794201683, 0.15239163248400703, 0.1553686744773392, 0.16115250120945612
101, 0.017569301361281084, 0.021670944886545706, 0.02692243661074928, 0.041224171260188264, 0.05231889804919606, 0.07871772858845306, 0.11680734434526578, 0.13019617882056414, 0.1478612353275965, 0.15437679724871117, 0.15604187321947863, 0.1618807435098492
102, 0.019522438829049443, 0.029737999850732836, 0.033120230608531025, 0.03771532741227154, 0.05520108675401058, 0.08478769333454365, 0.12263641809984725, 0.13370107875712192, 0.14888491994120912, 0.15263533160259143, 0.15729299644587444, 0.16357157695459404
103, 0.020988032838416257, 0.02266547570846461, 0.022692877935530976, 0.0420689280392522, 0.05155391030998719, 0.08233496426559117, 0.11617562675832077, 0.13201606152894732, 0.15153336692514227, 0.152285381605641, 0.15801812533184068, 0.16507109787558774
104, 0.016822058055517976, 0.022431946328662494, 0.021543627107766142, 0.039878361836307524, 0.08098134760157434, 0.0817651036474028, 0.12193253240375057, 0.13223006668753898, 0.15014815922928318, 0.15214333005154487, 0.15692624325588186, 0.16235785522251198
105, 0.020681896408730506, 0.01870305595951738, 0.027262661831095516, 0.04121593529973156, 0.06775998786591307, 0.07759998546094346, 0.1148076318701141, 0.13373858519170218, 0.15124912148627587, 0.15425006530277638, 0.15741735296099021, 0.16241808580063033
106, 0.015207606535006905, 0.025758475301503537, 0.025548251010346277, 0.04319781750610907, 0.050103924944293, 0.08931683459439704, 0.11397643086285768, 0.13281960918376493, 0.15187854783176302, 0.15427066980255896, 0.15695105848116378, 0.160504686983952
107, 0.014133790412146102, 0.017708688696620345, 0.02066297008258182, 0.041523757139165625, 0.06561909486849214, 0.08964827252643748, 0.11430624415451206, 0.13404991020671758, 0.15223638754776744, 0.15937765243850602, 0.15785860926214357, 0.15949360360593828
108, 0.022723585538332643, 0.019458442736440745, 0.02009976186361861, 0.03587499700866658, 0.07315169730930456, 0.09063543560002017, 0.1185609700762405, 0.13375178988038114, 0.15351943121779435, 0.15629637551090333, 0.15880885198845443, 0.15999440977471552
109, 0.013507591281703923, 0.021988608926014726, 0.03615818648500085, 0.042741672093874, 0.07392082027644, 0.07698367050249379, 0.11588353168041386, 0.13447568126894865, 0.15377229553205338, 0.1592002813955962, 0.1586334283175638, 0.16086441338444235
110, 0.017992802457198472, 0.01826896716832729, 0.029902986564159045, 0.03545372038519155, 0.052230004987249674, 0.08180493111878391, 0.11565563582427578, 0.1326708815647362, 0.15549080356119618, 0.15744115840038178, 0.15779035528933547, 0.15972178821132826
